ID	thr	ths	Alfa	n	Ks
80	0.041927186	0.383876296	0.040322937	2.438998062	0.005630917
81	0.047171447	0.378504592	0.034887548	1.647281029	0.000984311
82	0.061016969	0.366497254	0.026007766	1.8098186	0.001440569
83	0.062708371	0.366224712	0.024843363	1.395375668	0.00045464
84	0.059403186	0.369229962	0.027237252	1.627435979	0.000681681
85	0.048849527	0.379895278	0.033653482	1.840612763	0.001106518
86	0.048083021	0.377716787	0.035252755	2.223395347	0.003471139
87	0.062742493	0.365534606	0.024875511	2.001014906	0.001484086
88	0.035055473	0.390393672	0.045234353	1.728857349	0.001386062
89	0.052113788	0.376109407	0.031081851	2.086140891	0.001663665
90	0.039821465	0.38684911	0.041704701	2.145514664	0.002727663
91	0.051544566	0.376678446	0.031470424	1.289313582	0.000322565
92	0.044498364	0.382823132	0.03776584	1.834905741	0.001357869
93	0.056467518	0.372941122	0.029243932	1.790103952	0.000809884
94	0.060395501	0.369725482	0.027766516	2.415874928	0.002447474
95	0.046241429	0.381376801	0.037391197	2.232280187	0.002617061
96	0.050713517	0.377152123	0.033244138	2.730437991	0.003848645
97	0.052162356	0.37292351	0.030216044	1.10200999	0.000249287
98	0.055743034	0.373966396	0.029539783	1.399615685	0.000457433
99	0.051951176	0.378879524	0.032054997	1.252170246	0.000249436
100	0.065330709	0.365041163	0.023619625	1.521070077	0.000493635
